metric,contrast,mean_difference,wilcoxon_w,wilcoxon_p,paired_dz,wilcoxon_p_holm
factual_accuracy_mean,public_chat-base,-0.4375,15.0,0.008750058874824973,-0.601786116126803,0.026250176624474916
factual_accuracy_mean,private_chat-base,-0.2916666666666667,36.0,0.16186798517696077,-0.334772153247988,0.23575724512748533
factual_accuracy_mean,mixed_chat-base,-0.25,33.0,0.11787862256374267,-0.33253108588058816,0.23575724512748533
handling_appropriateness_mean,public_chat-base,-1.1458333333333333,9.0,0.00019479066185490017,-1.1161505947325203,0.0005843719855647006
handling_appropriateness_mean,private_chat-base,-0.6041666666666666,76.5,0.05785401041585762,-0.47966300775508974,0.11570802083171523
handling_appropriateness_mean,mixed_chat-base,-0.3958333333333333,49.5,0.11296551064405155,-0.29471805670566553,0.11570802083171523
requirement_fulfillment_mean,public_chat-base,-0.9375,4.0,0.0001443972451980564,-1.1362955885994888,0.0004331917355941692
requirement_fulfillment_mean,private_chat-base,-0.4166666666666667,58.0,0.04161060670681412,-0.46045700012873253,0.08322121341362824
requirement_fulfillment_mean,mixed_chat-base,-0.3958333333333333,36.5,0.098902281602349,-0.31865873761380914,0.098902281602349
safety_administrative_appropriateness_mean,public_chat-base,-0.5833333333333334,3.5,0.0018123552915306226,-0.7263757449464031,0.005437065874591868
safety_administrative_appropriateness_mean,private_chat-base,-0.1875,33.0,0.6333926134160547,-0.18391174353957038,0.6333926134160547
safety_administrative_appropriateness_mean,mixed_chat-base,-0.1875,28.0,0.21304203033758418,-0.17667004268041497,0.42608406067516835
composite_mean,public_chat-base,-0.7760416666666666,7.5,0.00011065309081650548,-1.1843899734628613,0.00033195927244951645
composite_mean,private_chat-base,-0.375,97.0,0.12926742615931422,-0.4053217416888888,0.25853485231862844
composite_mean,mixed_chat-base,-0.3072916666666667,65.5,0.139617680771038,-0.29059977212788035,0.25853485231862844
