condition,n,handling_correct,format_compliant,mean_generated_tokens,factual_accuracy_mean_mean,factual_accuracy_mean_sd,handling_appropriateness_mean_mean,handling_appropriateness_mean_sd,requirement_fulfillment_mean_mean,requirement_fulfillment_mean_sd,safety_administrative_appropriateness_mean_mean,safety_administrative_appropriateness_mean_sd,composite_mean_mean,composite_mean_sd
base,24,17,24,249.625,4.6875,0.3554696831688659,4.0,1.0108111250054497,4.0625,0.9361403183562675,4.3125,0.9979598754676855,4.265625,0.7734666633720073
public_chat,24,9,20,227.95833333333334,4.25,0.7661308776828738,2.8541666666666665,1.0578810513666361,3.125,1.190998850070631,3.7291666666666665,1.3511602636145774,3.4895833333333335,0.9568947930297961
private_chat,24,14,24,206.29166666666666,4.395833333333333,0.8072923971478696,3.3958333333333335,1.112958910396913,3.6458333333333335,1.0265938474081324,4.125,1.1632974123435578,3.890625,0.9536204610303054
mixed_chat,24,14,22,260.5416666666667,4.4375,0.7118942886839797,3.6041666666666665,1.1323231858005247,3.6666666666666665,1.1578340598483565,4.125,0.9469631093315001,3.9583333333333335,0.9293425290127877
