condition,n,composite_mean,composite_sd,handling_mean,requirement_mean,safety_admin_mean,factual_mean,handling_correct,format_compliant,mean_generated_tokens
base,24,4.265625,0.7734666633720073,4.0,4.0625,4.3125,4.6875,17,24,249.625
public_seed2026,24,3.4895833333333335,0.9568947930297961,2.8541666666666665,3.125,3.7291666666666665,4.25,9,20,227.95833333333334
public_seed2027,24,3.3177083333333335,0.9512428702431392,2.75,2.6875,3.4583333333333335,4.375,6,14,150.125
public_seed2028,24,3.34375,1.028301945590082,2.875,2.6875,3.5208333333333335,4.291666666666667,6,10,121.75
