metric,contrast,estimate,se_cr1,t,df,p,p_holm
factual_accuracy,public_on_minus_off,-0.8541666666666681,0.22450528631275268,-3.804661710623374,23,0.0009126362511202902,0.003650545004481161
factual_accuracy,base_on_minus_off,-0.08333333333333348,0.09934035450001641,-0.8388668809644696,23,0.4101782766987555,0.4101782766987555
factual_accuracy,difference_in_differences,-0.7708333333333346,0.2737146200992751,-2.8161934976427516,23,0.009798269868627623,0.019596539737255246
factual_accuracy,base_on_minus_public_on,0.8333333333333346,0.2628298731600391,3.1706187858863046,23,0.004267675319801517,0.012803025959404551
processing_appropriateness,public_on_minus_off,-0.6666666666666673,0.262829873160039,-2.5364950287090435,23,0.018443594815744955,0.05533078444723487
processing_appropriateness,base_on_minus_off,-0.22916666666666657,0.13595651652094504,-1.6855879551118234,23,0.10539653646978302,0.21079307293956603
processing_appropriateness,difference_in_differences,-0.4375000000000007,0.32520574196449903,-1.345302199638776,23,0.191642504498594,0.21079307293956603
processing_appropriateness,base_on_minus_public_on,0.8750000000000004,0.2690627128951737,3.2520299471629084,23,0.0035126791824939595,0.014050716729975838
requirement_coverage,public_on_minus_off,-0.6666666666666673,0.20554693247603747,-3.243379303383118,23,0.0035863126359475398,0.01075893790784262
requirement_coverage,base_on_minus_off,-0.12499999999999989,0.11482032606371188,-1.0886574205567008,23,0.28758121298494416,0.28758121298494416
requirement_coverage,difference_in_differences,-0.5416666666666674,0.2736089727668991,-1.979710903443725,23,0.05982516640573733,0.11965033281147466
requirement_coverage,base_on_minus_public_on,0.8541666666666674,0.2345815120271833,3.6412360858501356,23,0.001364824492231959,0.005459297968927836
safety_administrative_appropriateness,public_on_minus_off,-0.6875000000000004,0.2504760589809077,-2.7447733040721647,23,0.011541039851145072,0.04616415940458029
safety_administrative_appropriateness,base_on_minus_off,-0.20833333333333326,0.12874783969427228,-1.6181501284063997,23,0.11926361933872663,0.23852723867745326
safety_administrative_appropriateness,difference_in_differences,-0.47916666666666724,0.3268610445647367,-1.4659644354522203,23,0.1561971242211798,0.23852723867745326
safety_administrative_appropriateness,base_on_minus_public_on,0.7083333333333335,0.2667605297199853,2.6553153649712002,23,0.01413847292296481,0.04616415940458029
composite,public_on_minus_off,-0.7187500000000009,0.20661082894723196,-3.4787624814358997,23,0.0020304318603820482,0.008121727441528193
composite,base_on_minus_off,-0.16145833333333348,0.10467237668442565,-1.5425113907569952,23,0.13659726391059213,0.13659726391059213
composite,difference_in_differences,-0.5572916666666674,0.2658173066091157,-2.0965213807021406,23,0.04723312811743865,0.0944662562348773
composite,base_on_minus_public_on,0.8177083333333339,0.24581318184690096,3.326543870387816,23,0.002936281889240231,0.008808845667720694
