n,mean_difference,sd_difference,ci95_low,ci95_high,paired_dz,paired_t,paired_t_p,wilcoxon_w,wilcoxon_p,metric,contrast,paired_t_p_holm,wilcoxon_p_holm
24,-0.8541666666666666,1.0882691349776157,-1.3137024199574012,-0.39463091337593204,-0.7848855023203757,-3.845137974385965,0.0008257529038017136,16.5,0.0012946069626386906,factual_accuracy,public_on_minus_off,0.0033030116152068544,0.005178427850554762
24,-0.08333333333333333,0.48154341234307685,-0.28667128312993234,0.1200046164632657,-0.1730546638107932,-0.8477912478906583,0.405290753657254,25.0,0.4486773310299753,factual_accuracy,base_on_minus_off,0.405290753657254,0.4486773310299753
24,-0.7708333333333334,1.3268069440075547,-1.33109476948849,-0.2105718971781766,-0.5809687210447282,-2.8461538461538467,0.009144204984876479,32.0,0.01061115350916371,factual_accuracy,difference_in_differences,0.018288409969752957,0.02122230701832742
24,0.8333333333333334,1.2740441145412122,0.29535168606979567,1.3713149805968712,0.6540851480903545,3.204349722308278,0.003937530764392102,21.5,0.005059538960878399,factual_accuracy,base_on_minus_public_on,0.011812592293176306,0.015178616882635197
24,-0.6666666666666666,1.2740441145412122,-1.2046483139302042,-0.12868501940312893,-0.5232681184722835,-2.5634797778466223,0.017370026723767296,47.0,0.016460990256425178,processing_appropriateness,public_on_minus_off,0.05211008017130189,0.04938297076927553
24,-0.22916666666666666,0.6590369565850822,-0.50745356699026,0.04912023365692672,-0.34772961421486087,-1.7035202465625063,0.10194717346176402,34.0,0.12845220013688918,processing_appropriateness,base_on_minus_off,0.20389434692352804,0.25690440027377837
24,-0.4375,1.5764055150328824,-1.1031576691915501,0.22815766919155012,-0.2775301125426944,-1.3596143279735817,0.18713307444056826,93.5,0.1736013513855713,processing_appropriateness,difference_in_differences,0.20389434692352804,0.25690440027377837
24,0.875,1.3042572432314643,0.3242604673883398,1.4257395326116602,0.670879923834715,3.2866269841445876,0.003232571953284592,41.0,0.005132753900534374,processing_appropriateness,base_on_minus_public_on,0.012930287813138368,0.020531015602137496
24,-0.6666666666666666,0.9963702239571423,-1.0873969131713799,-0.24593642016195333,-0.669095332876329,-3.2778843096493278,0.003301237612249553,26.5,0.005416028528858937,requirement_coverage,public_on_minus_off,0.009903712836748658,0.01624808558657681
24,-0.125,0.5565811788909613,-0.360023619698967,0.11002361969896704,-0.22458538797354574,-1.1002392084403616,0.28261051927595404,14.5,0.32748902429303894,requirement_coverage,base_on_minus_off,0.28261051927595404,0.32748902429303894
24,-0.5416666666666666,1.3262948280885711,-1.1017118552346794,0.018378521901346145,-0.4084059254361306,-2.0007722504953467,0.057355618663094535,54.5,0.05759808000137918,requirement_coverage,difference_in_differences,0.11471123732618907,0.11519616000275835
24,0.8541666666666666,1.1371127306994855,0.37400607175167777,1.3343272615816555,0.7511714921538457,3.679973730203959,0.0012409388469530173,20.0,0.002406983077553984,requirement_coverage,base_on_minus_public_on,0.004963755387812069,0.009627932310215937
24,-0.6875,1.2141601140742087,-1.200194851580195,-0.1748051484198051,-0.5662350393747002,-2.773973841905514,0.010795713011200069,36.0,0.009458759455021046,safety_administrative_appropriateness,public_on_minus_off,0.043182852044800275,0.03783503782008418
24,-0.20833333333333334,0.624093545570845,-0.4718649252622753,0.05519825859560859,-0.33381747786347526,-1.6353649759766666,0.11558604179754992,14.0,0.16041917722432708,safety_administrative_appropriateness,base_on_minus_off,0.23117208359509983,0.16041917722432708
24,-0.4791666666666667,1.5844294451526288,-1.1482125443936042,0.1898792110602709,-0.30242221774697475,-1.4815602407219108,0.15202881031384613,38.0,0.06675301516963451,safety_administrative_appropriateness,difference_in_differences,0.23117208359509983,0.13350603033926903
24,0.7083333333333334,1.2930976178445934,0.16230609724261014,1.2543605694240565,0.5477802476459762,2.683564195816096,0.013264027253801583,43.0,0.019822467011506726,safety_administrative_appropriateness,base_on_minus_public_on,0.043182852044800275,0.05946740103452018
24,-0.71875,1.0015273661849642,-1.141657916680518,-0.2958420833194819,-0.7176538797315896,-3.515771634542162,0.0018553189339285266,41.5,0.0032950324664070114,composite,public_on_minus_off,0.007421275735714107,0.013180129865628045
24,-0.16145833333333334,0.5073899091699954,-0.37571030155381135,0.0527936348871447,-0.3182135285217872,-1.55892154825792,0.13266989962035836,57.0,0.12437002060299131,composite,base_on_minus_off,0.13266989962035836,0.12437002060299131
24,-0.5572916666666666,1.2885254288515617,-1.101388236669774,-0.013195096663559336,-0.4325034292597315,-2.118825427380524,0.04511807998832805,78.0,0.03950099851260179,composite,difference_in_differences,0.0902361599766561,0.07900199702520358
24,0.8177083333333334,1.1915572375519015,0.3145578394449787,1.320858827221688,0.6862518287525536,3.3619336309911563,0.0026957970376440517,34.5,0.004846368924806315,composite,base_on_minus_public_on,0.008087391112932156,0.014539106774418945
